"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","Price.per.gross.sqft","Price.per.land.sqft","outliers"
"20780",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1217,39,NA,"A4","112 WEST 87TH STREET                     ","            ",10024,1,0,1," 1,762 "," 6,936 ",1910,1,"A4"," 6,995,000 ","2/29/2016",6995000,6936,1762,1008.50634371396,3969.92054483541,0
"20781",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1218,42,NA,"A4","130 WEST 88TH   STREET                   ","            ",10024,1,0,1," 1,762 "," 3,926 ",1899,1,"A4"," 7,750,000 ","5/20/2016",7750000,3926,1762,1974.01935812532,4398.41089670829,0
"20782",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1218,124,NA,"A4","123 WEST 87TH   STREET                   ","            ",10024,1,0,1," 1,711 "," 3,958 ",1900,1,"A4"," 7,390,000 ","4/27/2016",7390000,3958,1711,1867.10459828196,4319.11163062537,0
"20783",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1226,119,NA,"A4","131 WEST 95TH   STREET                   ","            ",10025,1,0,1," 1,711 "," 4,385 ",1905,1,"A4"," 7,029,382 ","8/15/2016",7029382,4385,1711,1603.05176738883,4108.34716540035,0
"20784",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1226,125,NA,"A5","113 WEST 95TH STREET                     ","            ",10025,1,0,1," 1,611 "," 5,536 ",1910,1,"A5"," 7,995,000 ","5/13/2016",7995000,5536,1611,1444.18352601156,4962.75605214153,0
"20785",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1238,7,NA,"A5","265 WEST 90TH STREET                     ","            ",10024,1,0,1," 1,812 "," 4,800 ",1920,1,"A5"," 5,937,500 ","12/18/2015",5937500,4800,1812,1236.97916666667,3276.76600441501,0
"20787",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1196,38,NA,"B9","8 WEST 83RD STREET                       ","            ",10024,2,0,2," 1,533 "," 3,600 ",1900,1,"B9"," 561,741 ","1/29/2016",561741,3600,1533,156.039166666667,366.432485322896,0
"20788",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1208,51,NA,"B3","44 WEST 95TH STREET                      ","            ",10025,2,0,2," 2,013 "," 4,400 ",1901,1,"B3"," 4,225,000 ","5/25/2016",4225000,4400,2013,960.227272727273,2098.85742672628,0
"20789",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1217,141,NA,"B1","118 WEST 87TH STREET                     ","            ",10024,2,0,2," 2,013 "," 5,940 ",1910,1,"B1"," 9,500,000 ","8/4/2016",9500000,5940,2013,1599.3265993266,4719.32439145554,0
"20791",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1219,17,NA,"B3","145 WEST 88TH   STREET                   ","            ",10024,2,0,2," 1,717 "," 3,680 ",1901,1,"B3"," 6,200,000 ","9/9/2015",6200000,3680,1717,1684.78260869565,3610.94933022714,0
"20792",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1233,5,NA,"B1","261 WEST 85TH STREET                     ","            ",10024,2,0,2," 1,635 "," 5,276 ",1910,1,"B1"," 5,675,000 ","3/24/2016",5675000,5276,1635,1075.62547384382,3470.94801223242,0
"20794",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1251,20,NA,"B9","627 WEST END AVENUE                      ","            ",10024,2,0,2," 1,476 "," 5,024 ",1899,1,"B9"," 6,900,000 ","3/1/2016",6900000,5024,1476,1373.4076433121,4674.79674796748,0
"21812",1,"UPPER WEST SIDE (96-116) ","02  TWO FAMILY DWELLINGS                    ","1",1890,51,NA,"B1","307 WEST 103RD STREET                    ","            ",10025,2,0,2," 2,018 "," 4,900 ",1905,1,"B1"," 6,225,000 ","3/21/2016",6225000,4900,2018,1270.40816326531,3084.73736372646,0
"21814",1,"UPPER WEST SIDE (96-116) ","03  THREE FAMILY DWELLINGS                  ","1",1889,50,NA,"C0","323 WEST 101 STREET                      ","            ",10025,3,0,3," 2,018 "," 4,480 ",1905,1,"C0"," 5,000,000 ","12/16/2015",5e+06,4480,2018,1116.07142857143,2477.70069375619,0
"22248",1,"WASHINGTON HEIGHTS LOWER ","02  TWO FAMILY DWELLINGS                    ","1",2109,63,NA,"B2","12 SYLVAN TERRACE                        ","            ",10032,2,0,2," 673 "," 1,425 ",1899,1,"B2"," 1,492,500 ","1/22/2016",1492500,1425,673,1047.36842105263,2217.68202080238,0
"22249",1,"WASHINGTON HEIGHTS LOWER ","02  TWO FAMILY DWELLINGS                    ","1",2134,148,NA,"B3","648 WEST 158 STREET                      ","            ",10032,2,0,2," 1,950 "," 3,728 ",1899,1,"B3"," 1,200,000 ","11/24/2015",1200000,3728,1950,321.888412017167,615.384615384615,0
"22250",1,"WASHINGTON HEIGHTS LOWER ","02  TWO FAMILY DWELLINGS                    ","1",2134,358,NA,"B9","626 WEST 158 STREET                      ","            ",10032,2,0,2," 1,923 "," 3,420 ",1899,1,"B9"," 250,000 ","8/19/2016",250000,3420,1923,73.0994152046784,130.005200208008,0
"22451",1,"WASHINGTON HEIGHTS UPPER ","01  ONE FAMILY DWELLINGS                    ","1",2154,61,NA,"S0","563 WEST 182 STREET                      ","            ",10033,1,2,3," 1,329 "," 2,482 ",1901,1,"S0"," 1,275,000 ","12/29/2015",1275000,2482,1329,513.698630136986,959.367945823928,0
"22452",1,"WASHINGTON HEIGHTS UPPER ","02  TWO FAMILY DWELLINGS                    ","1",2154,57,NA,"B2","553 WEST 182 STREET                      ","            ",10033,2,0,2," 1,994 "," 2,660 ",1901,1,"B2"," 297,000 ","9/21/2015",297000,2660,1994,111.654135338346,148.946840521565,0
